Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8080,111942,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3046.220364,62.53238284,18657.0,44588.15498,109668,23,111942,37314.0,64139.23644,111375,23,110275,55137.5,77117.77266,109668,607,0,0,0,0,92,72,35.73279019,26.79959265,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
53731,54,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,222222.2222,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18518.51852,18518.51852,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,74319,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4588.328691,94.18856551,12386.5,29430.12535,72458,56,74319,24773.0,42345.16972,73668,56,73061,36530.5,50809.15776,72458,603,0,0,0,0,92,72,53.82203743,40.36652807,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,81689,28,51,98277,422,16060,0,3509.892857,3323.136385,128,0,8.274509804,17.12083927,1208228.77,967.0824713,1047.294872,7977.67015,70575,0,81689,3025.518519,14464.25063,75394,2,80246,1604.92,9956.883708,70575,0,0,0,0,0,572,1032,342.7634076,624.3190638,0,16060,1233.7375,2568.94449,6599475.791,0,0,0,1,0,0,0,0,1,1249.35443,3509.892857,8.274509804,572,0,0,0,0,0,0,28,98277,51,422,8192,1278,27,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
4071,71,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,169014.0845,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14084.50704,14084.50704,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,1000622,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.98881096,5.99627032,200124.4,273172.1715,499467,562,1000060,500030.0,11.3137085,500038,500022,1000051,500025.5,270.8218972,500217,499834,0,0,0,0,92,60,2.99813516,2.99813516,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,64603,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5278.392644,108.3541012,10767.16667,25282.62086,62370,52,64603,21534.33333,36663.38828,63868,52,62994,31497.0,43661.01531,62370,624,0,0,0,0,92,72,61.91662926,46.43747194,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
2959,50,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,240000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20000.0,20000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,16393,0,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
53509,41,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,292682.9268,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,24390.2439,24390.2439,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,380099,5,4,212,145,194,0,42.4,84.78679142,129,0,36.25,61.96975069,939.2289903,23.67804177,47512.375,133243.5155,377271,4,380099,95024.75,188481.6909,377746,69,377864,125954.6667,217646.5256,377271,4,0,0,0,0,112,92,13.15446765,10.52357412,0,194,35.7,68.13067509,4641.788889,0,0,0,1,0,0,0,0,0,39.66666667,42.4,36.25,112,0,0,0,0,0,0,5,212,4,145,8192,237,4,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
53898,49,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,244897.9592,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20408.16327,20408.16327,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,202783,5,4,213,145,195,0,42.6,85.23379611,129,0,36.25,61.96975069,1765.433986,44.38241864,25347.875,70784.37208,200529,30,202783,50695.75,100432.0758,201343,30,201381,67127.0,115529.6643,200529,244,0,0,0,0,112,92,24.65689925,19.7255194,0,195,35.8,68.38908295,4677.066667,0,0,0,1,0,0,0,0,0,39.77777778,42.6,36.25,112,0,0,0,0,0,0,5,213,4,145,8192,237,4,20,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,50856,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.32672644,50856.0,0.0,50856,50856,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19.66336322,19.66336322,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,110,0,32,0.0,0.0,0,0,0.0,0.0,0,0,bot
8080,998848,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.02075992,6.006919972,199769.6,272640.0586,499331,581,998104,499052.0,1329.360749,499992,498112,998267,499133.5,1331.482069,500075,498192,0,0,0,0,92,60,3.003459986,3.003459986,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,bot
