Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,80586548,9,6,62,11607,20,0,6.888888889,5.30199124,5840,0,1934.5,2538.919278,144.8008419,0.186135284,5756182.0,18700000.0,70000000,1,80100000,10000000.0,24500000.0,70000000,1,472055,94411.0,210433.3652,470845,2,0,0,0,0,192,132,0.11168117,0.074454114,0,5840,729.6875,1754.344767,3077725.563,0,0,0,0,1,0,0,0,0,778.3333333,6.888888889,1934.5,192,0,0,0,0,0,0,9,62,6,11607,256,229,7,20,2007.0,0.0,2007,2007,40100000.0,42300000.0,70000000,10100000,ddos
80,1426812,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,8153.141409,5.606905465,203830.2857,538777.2026,1425662,5,903,451.5,504.167135,808,95,1426746,356686.5,712650.434,1425662,5,0,0,0,0,72,112,2.102589549,3.504315915,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,9063724,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.309897786,0.551649631,2265931.0,4531205.357,9062739,3,9063724,2265931.0,4531205.357,9062739,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.551649631,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,985.0,0.0,985,985,9062739.0,0.0,9062739,9062739,ddos
80,2503971,6,0,36,0,6,6,6.0,0.0,0,0,0.0,0.0,14.37716331,2.396193886,500794.2,1118685.803,2501960,2,2503971,500794.2,1118685.803,2501960,2,0,0.0,0.0,0,0,0,0,0,0,120,0,2.396193886,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.0,6.0,0.0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,89969322,8,5,56,11607,20,0,7.0,5.656854249,10135,0,2321.4,4413.201989,129.6330765,0.144493698,7497443.5,23000000.0,80100000,1,90000000,12900000.0,29900000.0,80100000,1,16706,4176.5,7708.321456,15729,17,0,0,0,0,172,112,0.088919198,0.055574499,0,10135,833.5,2705.044255,7317264.423,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,960.0,0.0,960,960,45000000.0,49700000.0,80100000,9866899,ddos
80,81871035,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,142.4557537,0.146571984,7442821.364,23600000.0,78500000,1,80600000,11500000.0,29600000.0,78500000,1,1244427,414809.0,717633.8428,1243461,4,0,0,0,0,172,92,0.097714656,0.048857328,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,0,972.4166667,7.0,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,2077966.0,0.0,2077966,2077966,78500000.0,0.0,78500000,78500000,ddos
80,1686743,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,6893.166297,5.335726901,210842.875,589697.5171,1670216,47,15669,7834.5,10072.7361,14957,712,1686529,337305.8,745148.8321,1670216,47,0,0,0,0,72,132,1.778575634,3.557151267,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,1773908,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,6554.45491,3.946089651,295651.3333,710923.7767,1746656,28,26996,13498.0,18741.15813,26750,246,1773880,591293.3333,1000663.6,1746656,178,0,0,0,0,72,92,1.691181279,2.254908372,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,101598531,8,5,56,11607,20,0,7.0,5.656854249,7215,0,2321.4,3327.769794,114.7949669,0.127954606,8466544.25,27500000.0,95700000,2,101000000,14400000.0,35900000.0,95700000,2,898473,224618.25,448472.7058,897327,4,0,0,0,0,172,112,0.078741296,0.04921331,0,7215,833.5,2175.302587,4731941.346,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,2011.0,0.0,2011,2011,50300000.0,64100000.0,95700000,5026880,ddos
80,1248017,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,19.23050728,3.205084546,416005.6667,720537.7548,1248011,2,1248017,416005.6667,720537.7548,1248011,2,0,0.0,0.0,0,0,0,0,0,0,80,0,3.205084546,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,1372786,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,8474.008331,5.827565258,196112.2857,518359.4918,1371641,3,818,409.0,509.1168825,769,49,1372711,343177.75,685642.2895,1371641,3,0,0,0,0,72,112,2.185336972,3.642228286,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,80790959,8,7,56,11607,20,0,7.0,5.656854249,5840,0,1658.142857,2127.59774,144.3602124,0.185664339,5770782.786,19000000.0,71200000,1,80100000,11400000.0,26600000.0,71200000,1,714124,119020.6667,280615.4329,691537,2,0,0,0,0,172,152,0.099020981,0.086643358,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,7.0,1658.142857,172,0,0,0,0,0,0,8,56,7,11607,256,229,6,20,5.0,0.0,5,5,40000000.0,44100000.0,71200000,8865757,ddos
80,2962417,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,10.126866,1.687811,740604.25,1479843.247,2960369,3,2962417,740604.25,1479843.247,2960369,3,0,0.0,0.0,0,0,0,0,0,0,100,0,1.687811,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,9169436,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.617391081,0.436231847,3056478.667,5293414.292,9168787,313,9169436,3056478.667,5293414.292,9168787,313,0,0.0,0.0,0,0,0,0,0,0,80,0,0.436231847,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,649.0,0.0,649,649,9168787.0,0.0,9168787,9168787,ddos
80,1710840,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,14.02819668,2.338032779,570280.0,987031.674,1710006,321,1710840,570280.0,987031.674,1710006,321,0,0.0,0.0,0,0,0,0,0,0,80,0,2.338032779,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,2601091,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,9.226897483,1.537816247,867030.3333,1500878.975,2600096,3,2601091,867030.3333,1500878.975,2600096,3,0,0.0,0.0,0,0,0,0,0,0,80,0,1.537816247,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,1620790,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,7173.662226,5.552847685,202598.75,564833.7454,1600389,46,20150,10075.0,13566.5507,19668,482,1620742,324148.4,713493.3333,1600389,46,0,0,0,0,72,132,1.850949228,3.701898457,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,42786,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,271888.0007,163.6049175,7131.0,16758.16021,41334,101,1110,555.0,528.9158723,929,181,42685,14228.33333,23479.50967,41334,176,0,0,0,0,72,92,70.11639321,93.48852428,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos
80,7386832,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.061280939,0.676880156,1846708.0,3691418.0,7383835,988,7386832,1846708.0,3691418.0,7383835,988,0,0.0,0.0,0,0,0,0,0,0,100,0,0.676880156,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2997.0,0.0,2997,2997,7383835.0,0.0,7383835,7383835,ddos
80,6144876,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.882116417,0.813686069,1536219.0,3071764.037,6143865,1,6144876,1536219.0,3071764.037,6143865,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.813686069,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1011.0,0.0,1011,1011,6143865.0,0.0,6143865,6143865,ddos
