Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,85333087,6,7,313,11595,301,0,52.16666667,121.9383724,5792,0,1656.428571,2120.732252,139.5472778,0.15234419,7111090.583,24300000.0,84300000,1,85300000,17100000.0,37600000.0,84300000,1,85300000,14200000.0,34800000.0,85300000,44,0,0,0,0,184,232,0.070312703,0.082031487,0,5792,851.0,1667.407384,2780247.385,1,0,0,0,0,0,0,0,1,916.4615385,52.16666667,1656.428571,184,0,0,0,0,0,0,6,313,7,11595,0,235,2,20,12017.0,0.0,12017,12017,84300000.0,0.0,84300000,84300000,dos
80,98439852,8,5,393,11595,393,0,49.125,138.9464825,7240,0,2319.0,3003.171157,121.7799474,0.132060337,8203321.0,28400000.0,98300000,1,98300000,14000000.0,37100000.0,98300000,1,149559,37389.75,67406.6188,138206,70,0,0,0,0,264,168,0.0812679,0.050792437,0,7240,856.2857143,2016.360943,4065711.451,0,0,0,0,1,0,0,0,0,922.1538462,49.125,2319.0,264,0,0,0,0,0,0,8,393,5,11595,274,235,1,32,2002.0,0.0,2002,2002,98300000.0,0.0,98300000,98300000,dos
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,dos
80,98960685,8,6,347,11595,347,0,43.375,122.6830265,5792,0,1932.5,2181.008184,120.6741849,0.141470322,7612360.385,27400000.0,98800000,3,98800000,14100000.0,37300000.0,98800000,3,147364,29472.8,59266.78074,135092,46,0,0,0,0,264,200,0.080840184,0.060630138,0,5792,796.1333333,1621.381812,2628878.981,0,0,0,0,1,0,0,0,0,853.0,43.375,1932.5,264,0,0,0,0,0,0,8,347,6,11595,274,235,1,32,1995.0,0.0,1995,1995,98800000.0,0.0,98800000,98800000,dos
80,1005,4,0,6,0,6,0,1.5,3.0,0,0,0.0,0.0,5970.149254,3980.099502,335.0,579.3712109,1004,0,1005,335.0,579.3712109,1004,0,0,0.0,0.0,0,0,0,0,0,0,116,0,3980.099502,0.0,0,6,1.2,2.683281573,7.2,0,0,0,0,1,0,0,0,0,1.5,1.5,0.0,116,0,0,0,0,0,0,4,6,0,0,274,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,dos
80,100266088,6,9,368,11595,350,0,61.33333333,141.4477524,7240,0,1288.333333,2339.059854,119.3125237,0.149601927,7161863.429,26700000.0,100000000,1,100000000,20000000.0,44800000.0,100000000,2,100000000,12500000.0,35400000.0,100000000,1,0,0,0,0,164,296,0.059840771,0.089761156,0,7240,748.0625,1823.493295,3325127.796,1,0,0,0,0,0,0,0,1,797.9333333,61.33333333,1288.333333,164,0,0,0,0,0,0,6,368,9,11595,0,235,3,20,8017.0,0.0,8017,8017,100000000.0,0.0,100000000,100000000,dos
80,100411804,8,7,704,11595,343,0,88.0,157.4139221,5792,0,1656.428571,2119.480114,122.4855994,0.149384827,7172271.714,26400000.0,99000000,2,100000000,14300000.0,37400000.0,99000000,2,100000000,16700000.0,40800000.0,100000000,42,0,0,0,0,236,232,0.079671908,0.069712919,0,5792,769.0625,1569.110001,2462106.196,1,0,0,0,0,0,0,0,0,820.3333333,88.0,1656.428571,236,0,0,0,0,0,0,8,704,7,11595,0,235,4,20,13007.0,0.0,13007,13007,99000000.0,0.0,99000000,99000000,dos
80,169569,3,5,316,11595,316,0,105.3333333,182.4426851,10136,0,2319.0,4414.366206,70242.79202,47.17843474,24224.14286,59192.08004,158208,58,11024,5512.0,6388.002661,10029,995,169493,42373.25,77392.89183,158208,84,0,0,0,0,104,168,17.69191303,29.48652171,0,10136,1323.444444,3338.630524,11100000.0,0,0,0,1,0,0,0,0,1,1488.875,105.3333333,2319.0,104,0,0,0,0,0,0,3,316,5,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,dos
80,98792381,6,5,336,11595,318,0,56.0,128.3869152,8688,0,2319.0,3776.347044,120.7684224,0.111344619,9879238.1,31200000.0,98600000,1,98700000,19700000.0,44100000.0,98600000,1,98800000,24700000.0,49300000.0,98600000,187,0,0,0,0,164,168,0.060733428,0.05061119,0,8688,994.75,2561.23071,6559902.75,1,0,0,0,0,0,0,0,0,1085.181818,56.0,2319.0,164,0,0,0,0,0,0,6,336,5,11595,0,235,3,20,13009.0,0.0,13009,13009,98600000.0,0.0,98600000,98600000,dos
80,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,dos
