Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
22,12109530,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,392.5007824,4.376718172,232875.5769,644357.3709,2720332,3,10600000,531971.75,953008.3058,2764698,375,12100000,390625.9032,801403.4039,2720332,3,0,0,0,0,680,1032,1.734171351,2.642546821,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,12500031,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,380.239057,4.239989485,240385.2115,654394.4118,2438519,1,10300000,516476.35,920996.4244,2501315,494,12500000,403222.0323,812574.6708,2438519,1,0,0,0,0,680,1032,1.679995834,2.559993651,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,12271678,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,387.3145954,4.318887767,235993.8077,642111.0909,2560238,3,10100000,505937.15,900419.4786,2608355,374,12300000,395857.4194,797258.1893,2560238,3,0,0,0,0,680,1032,1.711257417,2.60763035,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,13558366,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,350.558467,3.909025616,260737.8077,706092.5628,2595496,4,11300000,567013.25,1004278.307,2664917,347,13600000,437362.3226,876257.8001,2595496,4,0,0,0,0,680,1032,1.548859206,2.360166409,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,13439071,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,353.6702797,3.943724979,258443.6731,697308.5468,2531250,3,11300000,566320.95,997202.1614,2601421,474,13400000,433514.4516,865025.3203,2531250,3,0,0,0,0,680,1032,1.562608011,2.381116969,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,101,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19801.9802,101.0,0.0,101,101,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9900.990099,9900.990099,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,80,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12500.0,12500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11972453,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,396.9946677,4.426828821,230239.4808,623181.9843,2241179,3,9747731,487386.55,861819.1714,2300932,942,12000000,386204.0968,773362.4722,2241179,3,0,0,0,0,680,1032,1.754026514,2.672802307,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,115,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17391.30435,115.0,0.0,115,115,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8695.652174,8695.652174,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19230.76923,19230.76923,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11931014,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,398.3735163,4.442204158,229442.5769,623949.2336,2272355,3,10600000,529030.45,937655.4161,2348117,559,11900000,384866.871,774668.7434,2272355,3,0,0,0,0,680,1032,1.760118629,2.682085529,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,77,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,81,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24691.35802,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12345.67901,12345.67901,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,13295997,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,357.4760133,3.760530331,271346.8776,711360.7907,2599800,3,11100000,616277.7778,1017558.004,2665250,337,13300000,443196.3667,871136.7729,2599800,3,0,0,0,0,616,1000,1.429001526,2.331528805,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1,95.06,105.6842105,88.5483871,616,0,0,0,0,0,0,19,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,80,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12500.0,12500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,48,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20833.33333,20833.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,13226804,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,359.3460673,4.007014847,254361.6154,685313.7274,2263922,3,11000000,552454.35,967768.3513,2306180,300,13200000,426666.871,850020.9514,2263922,3,0,0,0,0,680,1032,1.587685128,2.419329719,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11653032,22,33,2008,2745,640,0,91.27272727,138.1821372,976,0,83.18181818,217.2857356,407.8766796,4.719801679,215796.8889,593211.2041,2310103,4,9298777,442798.9048,796448.3363,2302992,63,11700000,364152.8125,739051.6097,2310103,4,0,0,0,0,712,1064,1.887920672,2.831881007,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,91.27272727,83.18181818,712,0,0,0,0,0,0,22,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,64,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15625.0,15625.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,77,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,12043872,23,32,2008,2745,640,0,87.30434783,136.3399611,976,0,85.78125,220.240592,394.6405276,4.566637706,223034.6667,609211.8904,2168017,4,10000000,454790.0909,846216.4094,2210228,316,12000000,388508.3548,767703.373,2168017,4,0,0,0,0,744,1032,1.909684859,2.656952847,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,87.30434783,85.78125,744,0,0,0,0,0,0,23,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,67,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14925.37313,14925.37313,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,13288189,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,357.6860624,4.063759177,250720.5472,677384.5917,2306492,3,11100000,527947.7619,947901.5345,2365930,590,13300000,428646.9677,846631.1389,2306492,3,0,0,0,0,712,1032,1.655605591,2.408153587,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,96,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20833.33333,96.0,0.0,96,96,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10416.66667,10416.66667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,45,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,22222.22222,22222.22222,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11823588,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,401.9930329,4.482564853,227376.6923,616809.0656,2420338,4,9811940,490597.0,873970.7316,2483373,319,11800000,381402.0968,765607.5877,2420338,4,0,0,0,0,680,1032,1.776110602,2.706454251,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,14413179,20,33,2008,2745,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,329.7676384,3.67719016,277176.5192,742269.084,2487433,4,11900000,625495.5263,1054124.033,2501346,501,14400000,450409.3125,908883.1095,2487433,4,0,0,0,0,648,1064,1.387618928,2.289571232,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,100.4,83.18181818,648,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,12635662,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,376.1575769,4.273618588,238408.717,649857.7427,2460126,3,10100000,482596.2857,869970.7619,2272630,336,12600000,407600.0,812957.6934,2460126,3,0,0,0,0,712,1032,1.741103869,2.532514719,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,71,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14084.50704,14084.50704,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,73,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27397.26027,73.0,0.0,73,73,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13698.63014,13698.63014,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11978311,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,396.8005172,4.424663878,230352.1346,617757.6279,2276250,3,9895668,494783.4,869707.0148,2330905,939,12000000,386392.9677,765907.0124,2276250,3,0,0,0,0,680,1032,1.753168706,2.671495172,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,75,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13333.33333,13333.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,11605345,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,409.5526673,4.566861218,223179.7115,607600.0522,2460210,3,9944631,497231.55,886506.0175,2517038,502,11600000,374361.7419,754462.8889,2460210,3,0,0,0,0,680,1032,1.809511049,2.757350169,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
22,31,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32258.06452,32258.06452,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ssh-patator
